time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-11T03:26:43.855Z,60.1226,-147.0527,21.6,2.0,ml,,,,0.74,ak,ak0248v8ny4h,2024-07-11T03:29:51.651Z,"53 km E of Chenega, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-07-11T03:21:06.810Z,18.1733333333333,-67.0418333333333,22.15,2.37,md,14.0,87.0,0.04188,0.11,pr,pr71455068,2024-07-11T03:32:26.240Z,"6 km W of Maricao, Puerto Rico",earthquake,0.43,0.5,0.0667467296639732,6.0,reviewed,pr,pr
2024-07-10T22:36:59.690Z,60.5361666666667,-152.655333333333,5.43,-0.09,ml,5.0,129.0,0.05124,0.18,av,av93192916,2024-07-11T03:38:08.180Z,"73 km W of Salamatof, Alaska",earthquake,0.56,1.34,0.195501961011229,5.0,reviewed,av,av
2024-07-11T03:43:09.405Z,36.1415,-115.2309,2.7,1.0,ml,8.0,339.23,0.891,0.382,nn,nn00880737,2024-07-11T03:45:44.512Z,"3 km NNE of Spring Valley, Nevada",earthquake,,17.9,0.4,3.0,automatic,nn,nn
2024-07-11T03:41:31.990Z,33.8611667,-117.0308333,9.31,0.88,ml,44.0,43.0,0.07454,0.14,ci,ci40655951,2024-07-11T03:48:07.839Z,"9 km SSW of Beaumont, CA",earthquake,0.15,0.63,0.171,22.0,automatic,ci,ci
2024-07-11T03:41:25.829Z,60.8764,-146.5744,39.8,1.3,ml,,,,1.28,ak,ak0248v8r4hh,2024-07-11T03:43:46.850Z,"5 km ENE of Tatitlek, Alaska",earthquake,,1.0,,,automatic,ak,ak
2024-07-11T03:24:44.101Z,38.736,30.5575,10.0,4.2,mb,67.0,41.0,0.892,1.0,us,us7000myhx,2024-07-11T03:45:10.040Z,"2 km SSE of Afyonkarahisar, Turkey",earthquake,1.62,1.922,0.112,22.0,reviewed,us,us
2024-07-10T23:33:23.640Z,52.0653333333333,-176.117,2.03,0.19,ml,5.0,102.0,0.01959,0.29,av,av93192971,2024-07-11T03:51:57.170Z,"41 km ENE of Adak, Alaska",earthquake,1.03,2.11,0.228501492479259,5.0,reviewed,av,av
2024-07-11T04:23:48.980Z,19.392333984375,-155.280502319336,0.620000004768372,2.33999991,md,20.0,50.0,0.005884,0.200000003,hv,hv74326981,2024-07-11T04:25:21.240Z,"7 km SW of Volcano, Hawaii",earthquake,0.21,0.159999996,0.400000006,15.0,automatic,hv,hv
2024-07-11T04:17:55.767Z,61.2276,-152.4085,4.4,1.6,ml,,,,0.97,ak,ak0248v97h7c,2024-07-11T04:20:27.221Z,"70 km WNW of Tyonek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-07-11T04:12:49.410Z,32.6148333,-115.5456667,11.26,1.46,ml,23.0,77.0,0.08256,0.25,ci,ci40655967,2024-07-11T04:19:15.891Z,"5 km NE of Progreso, B.C., MX",earthquake,0.31,0.55,0.148,18.0,automatic,ci,ci
2024-07-11T03:57:46.400Z,19.4055,-155.256666666667,0.42,2.03,ml,23.0,74.0,0.01141,0.11,hv,hv74326966,2024-07-11T04:23:43.650Z,"4 km SSW of Volcano, Hawaii",earthquake,0.14,0.15,0.206117327402424,12.0,reviewed,hv,hv
2024-07-11T03:55:55.770Z,33.6478333,-116.7426667,14.22,0.46,ml,14.0,222.0,0.1237,0.12,ci,ci40655959,2024-07-11T04:01:44.205Z,"10 km SSW of Idyllwild, CA",earthquake,0.68,0.44,0.146,8.0,automatic,ci,ci
2024-07-10T15:39:55.640Z,52.0673333333333,-176.121166666667,-1.77,-0.43,ml,4.0,145.0,0.01854,0.43,av,av93192591,2024-07-11T04:00:01.530Z,"41 km ENE of Adak, Alaska",earthquake,1.26,2.55,0.312663402432482,4.0,reviewed,av,av
2024-07-10T12:22:22.775Z,-14.2673,-74.3448,87.663,4.4,mb,22.0,132.0,3.325,0.63,us,us7000my9d,2024-07-11T04:07:50.040Z,"36 km S of Sacsamarca, Peru",earthquake,5.94,8.732,0.179,9.0,reviewed,us,us
2024-07-11T04:26:18.481Z,37.3602,-117.886,7.4,1.0,ml,11.0,179.27000000000004,0.069,0.3246,nn,nn00880738,2024-07-11T04:28:55.171Z,"37 km SSE of Dyer, Nevada",earthquake,,1.1,0.16,7.0,automatic,nn,nn
2024-07-11T04:25:18.570Z,61.3718,-146.6356,24.2,1.9,ml,,,,0.69,ak,ak0248v99429,2024-07-11T04:27:09.811Z,"30 km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
